metric,treatment,sample_size,mean,std,skewness,kurtosis,shapiro_statistic,shapiro_p_value,is_normal_shapiro
tps,T1,484,19.940495822243545,0.09288809250370318,-1.7788860785412985,2.9661597355260247,0.6936209134754461,1.025165950468269e-28,False
tps,T2,797,19.870313908631704,0.964941177355394,-13.639504796232798,187.87923537653273,0.08740692712609055,1.0238915099226291e-51,False
tps,T3,1642,19.868299256937032,0.25480937154962574,-5.468208698768631,57.945282094679534,0.5378145732181242,2.693379880235491e-54,False
tps,T4,108,19.86557006184954,0.1139661324812272,-1.082236018656869,0.8867059472335206,0.8933971544831965,3.0412766222705375e-07,False
tps,T5,2416,19.720968250303798,0.4003610775829686,-2.7326871196835927,16.53199174947667,0.7084018514889872,6.794368938006992e-54,False
tps,T6,406,19.829075394324672,0.34925295024544034,-4.843559446549219,33.99933079908933,0.5114328444623519,6.159890684314037e-32,False
tps,T7,241,19.81150430056674,0.37313282734001996,-6.042811187278516,53.72066012334973,0.48685164525781244,7.072950862382419e-26,False
cpu_usage,T1,484,18.215980840154323,4.325506686273561,0.4645489992371417,1.2567207733425687,0.9784415218868697,1.3968763439867294e-06,False
cpu_usage,T2,797,17.23641858783869,8.452856587230608,1.602768087797224,4.192212475121705,0.8056439624366758,7.319732200840784e-30,False
cpu_usage,T3,1642,16.41916021490121,5.406518762679005,-0.19324719621432138,1.6276740352259673,0.9542791808754933,2.9881196388328517e-22,False
cpu_usage,T4,108,21.362135401360593,2.7216385085421653,-1.673531128532233,11.382855230385363,0.8613901510383543,1.2485930179711456e-08,False
cpu_usage,T5,2416,19.34451740497827,5.331205962980546,-1.2976433941248946,3.5294582832751105,0.8699753380346916,6.461859698230908e-41,False
cpu_usage,T6,406,19.84879193001858,5.409631678224722,-0.37782918756854394,2.73399522111087,0.9328622350641117,1.507333750635309e-12,False
cpu_usage,T7,241,22.001341227590505,5.173554151457186,-1.7856137987213163,5.725369158590942,0.8268251624006093,1.0905124122588823e-15,False
ram_usage,T1,484,1961.400826446281,455.0167840730004,-0.011104089484204556,-1.4608575461350637,0.8800507845011107,6.537222481404109e-19,False
ram_usage,T2,797,2039.5583437892096,790.9921752316236,1.2785090500617666,0.624153613502441,0.8361654187221025,7.897404337779917e-28,False
ram_usage,T3,1642,4825.0298416565165,1398.601421543081,0.19178383921314457,0.27988057186547177,0.9926564028457464,2.691872125054011e-07,False
ram_usage,T4,108,2839.4444444444443,123.94763239499166,-0.3791775482846751,-0.6391881092219056,0.9700332012316419,0.015325354307359882,False
ram_usage,T5,2416,5874.748758278146,1479.085225168275,-0.13011937597204315,-0.6366636891025803,0.9865505520693634,2.4831188559875575e-14,False
ram_usage,T6,406,5334.854679802956,970.3150238435783,-0.017898577330671295,0.24118127709119586,0.9936990694752823,0.0895976981393729,True
ram_usage,T7,241,6076.688796680498,895.4603649793567,-0.6982770321540934,0.6693201417065509,0.9697419588329312,5.2429644505481816e-05,False
